"url","title","original_format","online_formats","subjects","date","description","contributors","locations","partof","access_restricted","id","image_url","thumb_url","resource_count","resource_url","filename"
"https://www.loc.gov/item/muscolwell-200224987/","Larry Colwell dance photographs: Studio or publicity photos: Rosay, Bettina","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224987","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224987:muscolwell-200224987.0001/full/pct:100/0/default.jpg#h=4118&w=3302","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224987:muscolwell-200224987.0001/full/pct:6.25/0/default.jpg#h=257&w=206","5","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224987:muscolwell-200224987.0001/full/pct:100/0/default.jpg#h=4118&w=3302","muscolwell-200224987-0.jpg"
"https://www.loc.gov/item/muscolwell-200224988/","Larry Colwell dance photographs: Studio or publicity photos: Tallchief, Maria","photo, print, drawing","image","photographs","1947","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224988","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224988:muscolwell-200224988.0001/full/pct:100/0/default.jpg#h=2930&w=2140","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224988:muscolwell-200224988.0001/full/pct:12.5/0/default.jpg#h=366&w=267","9","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224988:muscolwell-200224988.0001/full/pct:100/0/default.jpg#h=2930&w=2140","muscolwell-200224988-0.jpg"
"https://www.loc.gov/item/muscolwell-200224989/","Larry Colwell dance photographs: Studio or publicity photos: Vernon, Adelaide","photo, print, drawing","image","photographs","1946","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224989","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224989:muscolwell-200224989.0001/full/pct:100/0/default.jpg#h=3351&w=2112","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224989:muscolwell-200224989.0001/full/pct:12.5/0/default.jpg#h=418&w=264","6","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224989:muscolwell-200224989.0001/full/pct:100/0/default.jpg#h=3351&w=2112","muscolwell-200224989-0.jpg"
"https://www.loc.gov/item/muscolwell-200224980/","Larry Colwell dance photographs: Studio or publicity photos: Moylan, Mary Ellen","photo, print, drawing","image","photographs","1948","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224980","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224980:muscolwell-200224980.0001/full/pct:100/0/default.jpg#h=3318&w=2148","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224980:muscolwell-200224980.0001/full/pct:12.5/0/default.jpg#h=414&w=268","24","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224980:muscolwell-200224980.0001/full/pct:100/0/default.jpg#h=3318&w=2148","muscolwell-200224980-0.jpg"
"https://www.loc.gov/item/muscolwell-200224985/","Larry Colwell dance photographs: Studio or publicity photos: Picon, Armond, with Harriet Toby","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224985","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224985:muscolwell-200224985.0001/full/pct:100/0/default.jpg#h=4094&w=3262","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224985:muscolwell-200224985.0001/full/pct:12.5/0/default.jpg#h=511&w=407","7","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224985:muscolwell-200224985.0001/full/pct:100/0/default.jpg#h=4094&w=3262","muscolwell-200224985-0.jpg"
"https://www.loc.gov/item/muscolwell-200224995/","Larry Colwell dance photographs: Studio or publicity photos: Unidentified ballet dancers","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224995","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224995:muscolwell-200224995.0001/full/pct:100/0/default.jpg#h=4148&w=3365","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224995:muscolwell-200224995.0001/full/pct:6.25/0/default.jpg#h=259&w=210","3","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224995:muscolwell-200224995.0001/full/pct:100/0/default.jpg#h=4148&w=3365","muscolwell-200224995-0.jpg"
"https://www.loc.gov/item/muscolwell-200225002/","Larry Colwell dance photographs: Rehearsal photos: Rehearsal contact sheets","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966;larry colwell dance photographs, 1944-1966: rehearsal photos","false","muscolwell-200225002","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200225002:muscolwell-200225002.0001/full/pct:100/0/default.jpg#h=3358&w=4163","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200225002:muscolwell-200225002.0001/full/pct:6.25/0/default.jpg#h=209&w=260","4","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200225002:muscolwell-200225002.0001/full/pct:100/0/default.jpg#h=3358&w=4163","muscolwell-200225002-0.jpg"
"https://www.loc.gov/item/muscolwell-200225022/","Larry Colwell dance photographs: Art photographs: [Figure study: seated dancer]","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: art photographs;larry colwell dance photographs, 1944-1966","false","muscolwell-200225022","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200225022:muscolwell-200225022.0001/full/pct:100/0/default.jpg#h=3375&w=2166","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200225022:muscolwell-200225022.0001/full/pct:12.5/0/default.jpg#h=421&w=270","6","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200225022:muscolwell-200225022.0001/full/pct:100/0/default.jpg#h=3375&w=2166","muscolwell-200225022-0.jpg"
"https://www.loc.gov/item/muscolwell-200224994/","Larry Colwell dance photographs: Studio or publicity photos: Unidentified ballet dancers","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224994","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224994:muscolwell-200224994.0001/full/pct:100/0/default.jpg#h=4155&w=3376","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224994:muscolwell-200224994.0001/full/pct:6.25/0/default.jpg#h=259&w=211","3","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224994:muscolwell-200224994.0001/full/pct:100/0/default.jpg#h=4155&w=3376","muscolwell-200224994-0.jpg"
"https://www.loc.gov/item/muscolwell-200224990/","Larry Colwell dance photographs: Studio or publicity photos: Wilde, Patricia, with unidentified partner","photo, print, drawing","image","photographs","1944","","colwell, larry","","music division;larry colwell dance photographs, 1944-1966: studio or publicity photos;larry colwell dance photographs, 1944-1966","false","muscolwell-200224990","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224990:muscolwell-200224990.0001/full/pct:100/0/default.jpg#h=4173&w=3385","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224990:muscolwell-200224990.0001/full/pct:6.25/0/default.jpg#h=260&w=211","6","https://tile.loc.gov/image-services/iiif/service:music:muscolwell:muscolwell-200224990:muscolwell-200224990.0001/full/pct:100/0/default.jpg#h=4173&w=3385","muscolwell-200224990-0.jpg"
