"url","title","original_format","online_formats","subjects","date","description","contributors","locations","partof","access_restricted","id","image_url","thumb_url","resource_count","resource_url","filename"
"https://www.loc.gov/item/98509582/","Art classes for children","photo, print, drawing","image","screen prints;chicago;color;illinois;art education;posters;children","1940-01-01","1 print on board (poster) : silkscreen, color. | Poster showing a boy and a girl painting.","federal art project;bender, albert m.","illinois;chicago","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509582","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48763r.jpg#h=640&w=413","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48763_150px.jpg#h=150&w=97","1","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48763r.jpg#h=640&w=413","98509582.jpg"
"https://www.loc.gov/item/98508193/","Father & son banquet","photo, print, drawing","image","screen prints;chicago;public relations;fathers & children;illinois;color;banquets;posters;chicago urban league","1939-01-01","1 print on board (poster) : silkscreen, color. | Poster for a father and son banquet, sponsored by the Chicago Urban League, at the Savoy Ballroom.","bender, albert m.","illinois;chicago","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98508193","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48794v.jpg#h=1024&w=729","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48794t.gif#h=150&w=96","1","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48794v.jpg#h=1024&w=729","98508193.jpg"
"https://www.loc.gov/item/98509532/","October's ""bright blue weather"" A good time to read!.","photo, print, drawing","image","screen prints;color;halloween;illinois;boys;posters;reading","1936-01-01","1 print on board (poster) : silkscreen, color. | Poster for the WPA Statewide Library Project, showing a boy reading a book, surrounded by a bat, ghost, witch, and other images of Halloween.","federal art project;bender, albert m.","illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509532","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48754v.jpg#h=1024&w=718","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48754_150px.jpg#h=150&w=105","1","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48754v.jpg#h=1024&w=718","98509532.jpg"
"https://www.loc.gov/item/98517851/","Funny side up","photo, print, drawing","image","screen prints;color;illinois;posters;smiling;reading","1936-01-01","1 print on board (poster) : silkscreen, color. | Poster promoting reading, showing a boy's smiling face and an open book.","bender, albert m.","illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98517851","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48716r.jpg#h=640&w=428","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48716_150px.jpg#h=150&w=100","1","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48716r.jpg#h=640&w=428","98517851.jpg"
"https://www.loc.gov/item/96524664/","Jobs for girls & women If you want a good job in household employment apply at - or write to Illinois State Employment Service.","photo, print, drawing","image","screen prints;public relations;illinois;color;housework;state employment service;posters;employment;women","1936-01-01","1 print on board (poster) : silkscreen, color. | Poster for Illinois State Employment Service promoting jobs for women as domestics offering ""good pay, good meals, good surroundings, [and] good working conditions,"" showing a woman washing dishes.","bender, albert m.","","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","96524664","https://tile.loc.gov/storage-services/service/pnp/cph/3b50000/3b53000/3b53000/3b53089r.jpg#h=640&w=411","https://tile.loc.gov/storage-services/service/pnp/cph/3b50000/3b53000/3b53000/3b53089_150px.jpg#h=150&w=96","1","https://tile.loc.gov/storage-services/service/pnp/cph/3b50000/3b53000/3b53000/3b53089r.jpg#h=640&w=411","96524664.jpg"
"https://www.loc.gov/item/97502889/","Buckingham Fountain on Chicago's lake front, world's largest and most beautiful illuminated fountain ...","photo, print, drawing","image","screen prints;chicago;color;fountains;illinois;american;posters","1939-01-01","1 print (poster) : silkscreen, color. | Poster showing fountain and Chicago skyline.","buczak, john","illinois;chicago","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","97502889","https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g05000/3g05100/3g05158v.jpg#h=1024&w=806","https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g05000/3g05100/3g05158_150px.jpg#h=150&w=118","1","https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g05000/3g05100/3g05158v.jpg#h=1024&w=806","97502889.jpg"
"https://www.loc.gov/item/98509650/","Du Page County Centennial--Centennial of the photo, and art exhibit--Clarendon Hills","photo, print, drawing","image","exhibition posters;exhibitions;color;photography;cameras;illinois;dupage county;centennial celebrations;screen prints","1939-01-01","1 print (poster) : silkscreen, color. | Poster for art and photography exhibit, showing abstract design of camera and face.","buczak, john","dupage county;illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509650","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05227v.jpg#h=1024&w=664","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05227_150px.jpg#h=150&w=97","1","https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05227v.jpg#h=1024&w=664","98509650.jpg"
"https://www.loc.gov/item/98509666/","44th annual exhibition by artists of Chicago and vicinity--The Art Institute of Chicago","photo, print, drawing","image","exhibitions & displays;screen prints;chicago;color;art exhibitions;illinois;exhibition posters;art institute of chicago","1940-01-01","1 print (poster) : silkscreen, color. | Poster for art exhibit at the Art Institute of Chicago showing city skyline in silhouette.","federal art project;buczak, john","illinois;chicago","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509666","https://tile.loc.gov/storage-services/service/pnp/ds/07400/07412v.jpg#h=1024&w=662","https://tile.loc.gov/storage-services/service/pnp/ds/07400/07412_150px.jpg#h=150&w=97","1","https://tile.loc.gov/storage-services/service/pnp/ds/07400/07412v.jpg#h=1024&w=662","98509666.jpg"
"https://www.loc.gov/item/98509668/","Outwitted by community sanitation Community sanitation planning keeps flies away from deadly disease germs... /","photo, print, drawing","image","flies;screen prints;sanitation;color;illinois;privies;posters","1940-01-01","1 print (poster) : silkscreen, color. | Poster promoting sanitary facilities showing a giant fly above an outhouse.","buczak, john","illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98509668","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b49000/3b49400/3b49492r.jpg#h=640&w=401","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b49000/3b49400/3b49492_150px.jpg#h=150&w=94","1","https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b49000/3b49400/3b49492r.jpg#h=640&w=401","98509668.jpg"
"https://www.loc.gov/item/98517927/","Strictly business","photo, print, drawing","image","business & finance;posters;screen prints;color;illinois","1936-01-01","1 print on board (poster) : silkscreen, color. | Poster promoting careers in business and finance, showing graph.","buczak, john","illinois","posters: wpa posters;catalog;by the people, for the people: posters from the wpa, 1936-1943;american memory;prints & photographs online catalog (library of congress);prints and photographs division","false","98517927","https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g11000/3g11800/3g11889v.jpg#h=1024&w=808","https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g11000/3g11800/3g11889_150px.jpg#h=150&w=118","1","https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g11000/3g11800/3g11889v.jpg#h=1024&w=808","98517927.jpg"
